stage,channel_index_0based,wavelength_nm_approx,mean_pseudo_absorbance,sd_pseudo_absorbance,n
0,155,1484.4827586206898,0.321429580450058,0.050104305148124695,2242
0,156,1487.9310344827586,0.3196733593940735,0.05004626512527466,2242
0,157,1491.3793103448274,0.3177343010902405,0.04993142932653427,2242
0,158,1494.8275862068965,0.3160974085330963,0.04987566918134689,2242
0,159,1498.2758620689656,0.3145262598991394,0.04979335144162178,2242
0,160,1501.7241379310344,0.3132649064064026,0.04974038898944855,2242
0,161,1505.1724137931033,0.31193336844444275,0.049626268446445465,2242
0,162,1508.6206896551723,0.3109486699104309,0.049587517976760864,2242
0,163,1512.0689655172414,0.30998560786247253,0.04949921369552612,2242
0,164,1515.5172413793102,0.30909058451652527,0.04944232478737831,2242
0,165,1518.9655172413793,0.30799752473831177,0.049335137009620667,2242
0,166,1522.4137931034484,0.30731335282325745,0.0493241585791111,2242
0,167,1525.8620689655172,0.3062751591205597,0.049243126064538956,2242
0,168,1529.310344827586,0.3055691421031952,0.04925474151968956,2242
0,169,1532.7586206896551,0.3047005534172058,0.04922096058726311,2242
0,170,1536.2068965517242,0.30397897958755493,0.049192216247320175,2242
0,171,1539.655172413793,0.30310937762260437,0.04915062338113785,2242
0,172,1543.1034482758619,0.3023843765258789,0.04909253120422363,2242
0,173,1546.5517241379312,0.30148378014564514,0.049037329852581024,2242
0,174,1550.0,0.3004576861858368,0.048910774290561676,2242
0,175,1553.4482758620688,0.2992130517959595,0.048783235251903534,2242
0,176,1556.896551724138,0.2980092763900757,0.04865509644150734,2242
0,177,1560.344827586207,0.29628461599349976,0.04847780987620354,2242
0,178,1563.7931034482758,0.2947464883327484,0.048347800970077515,2242
0,179,1567.2413793103447,0.29288816452026367,0.048139434307813644,2242
0,180,1570.6896551724137,0.29101690649986267,0.04797190800309181,2242
0,181,1574.1379310344828,0.28905418515205383,0.047738753259181976,2242
0,182,1577.5862068965516,0.28716322779655457,0.0475451834499836,2242
0,183,1581.0344827586207,0.285146027803421,0.047305669635534286,2242
0,184,1584.4827586206898,0.2833231985569,0.04711095243692398,2242
0,185,1587.9310344827586,0.2819521427154541,0.04704131931066513,2242
0,186,1591.3793103448274,0.28000006079673767,0.046727851033210754,2242
0,187,1594.8275862068965,0.27812498807907104,0.04644430801272392,2242
0,188,1598.2758620689656,0.27654170989990234,0.04621806740760803,2242
0,189,1601.7241379310344,0.2751050293445587,0.04601811245083809,2242
0,190,1605.1724137931033,0.27384594082832336,0.04577904939651489,2242
0,191,1608.6206896551723,0.27274811267852783,0.04555162042379379,2242
